,Title,Releasing year,Watch Time,Rating,Genre,Votes,Synopsis,Cast,Director
69,Titans,I 2018–,45 min,7.6,"Action, Adventure, Crime","84,407",A team of young superheroes combat evil and other perils.,"['Brenton Thwaites', 'Anna Diop', 'Ryan Potter', 'Teagan Croft']",Anna Diop
70,I onde dager,2021,113 min,6.9,"Action, Comedy, Horror","8,489","A dysfunctional couple head to a remote cabin to reconnect, but each has intentions to kill the other. Before they can carry out their plans, unexpected visitors arrive and they face a greater danger.","['Tommy Wirkola', 'Noomi Rapace', 'Aksel Hennie', 'Atle Antonsen', 'Christian Rubeck']",Noomi Rapace
71,La casa de papel,2017–2021,70 min,8.2,"Action, Crime, Drama","398,555",An unusual group of robbers attempt to carry out the most perfect robbery in Spanish history - stealing 2.4 billion euros from the Royal Mint of Spain.,"['Úrsula Corberó', 'Álvaro Morte', 'Itziar Ituño', 'Pedro Alonso']",Álvaro Morte
72,Stranger Things,2016–,51 min,8.7,"Drama, Fantasy, Horror","924,426","When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back.","['Millie Bobby Brown', 'Finn Wolfhard', 'Winona Ryder', 'David Harbour']",Finn Wolfhard
73,The Witcher,2019–,60 min,8.2,"Action, Adventure, Fantasy","357,229","Geralt of Rivia, a solitary monster hunter, struggles to find his place in a world where people often prove more wicked than beasts.","['Henry Cavill', 'Anna Shaffer', 'Freya Allan', 'Graham McTavish']",Anna Shaffer
74,Halloween,I 2018,106 min,6.6,"Crime, Horror, Thriller","138,420","Laurie Strode confronts her long-time foe Michael Myers, the masked figure who has haunted her since she narrowly escaped his killing spree on Halloween night four decades ago.","['David Gordon Green', 'Jamie Lee Curtis', 'Judy Greer', 'Andi Matichak', 'James Jude Courtney']",Jamie Lee Curtis
75,Doctor Who,2005–,45 min,8.6,"Adventure, Drama, Family","208,571",The further adventures in time and space of the alien adventurer known as the Doctor and their companions from planet Earth.,"['Jodie Whittaker', 'Peter Capaldi', 'Pearl Mackie', 'Matt Smith']",Peter Capaldi
76,The Sinner,2017–,45 min,7.9,"Crime, Drama, Mystery","101,048",Anthology series that examines how and why ordinary people commit brutal crimes.,"['Bill Pullman', 'Jessica Hecht', 'Dohn Norwood', 'Adam LeFevre']",Jessica Hecht
77,Dexter,2006–2013,53 min,8.6,"Crime, Drama, Mystery","680,686","He's smart. He's lovable. He's Dexter Morgan, America's favorite serial killer, who spends his days solving crimes and nights committing them. Golden Globe winner Michael C. Hall stars in the hit SHOWTIME Original Series.","['Michael C. Hall', 'Jennifer Carpenter', 'David Zayas', 'James Remar']",Jennifer Carpenter
78,I Know What You Did Last Summer,2021–,45 min,5.3,"Horror, Mystery, Thriller","3,002","In a town full of secrets, a group of teenagers are stalked by a mysterious killer a year after a fatal accident on their graduation night.","['Madison Iseman', 'Brianne Tju', 'Bill Heck', 'Ezekiel Goodman']",Brianne Tju
